synthetic,"a.合成的,人造的;综合的"
orderly,"a.整齐的,有秩序的,有条理的?n.勤务兵"
pessimistic,a.悲观(主义)的
perspective,"n.透视画法,透视图;远景,前途;观点,看法"
personnel,"n.全体人员,全体职员;人事(部门)"
perplex,"v.使困惑,使费解,使复杂化"
perpetual,"a.永久的,永恒的,长期的"
perish,"v.丧生;凋谢;毁灭,消亡"
periodical,"n.期刊,杂志?a.周期的,定期的"
immerse,v.使沉浸在;使浸没
immediate,"a.立即的,即时的;直接的,最接近的"
heap,"n.(一)堆,大量,许多?v.(up)堆,堆起"
grant,"v.同意,准予;授予?n.授予物;津贴;转让证书"
flaw,n.裂缝;缺陷?v.使破裂;使有缺陷
flare,"v./n.闪耀,闪烁"
emit,vt.发出;放射;吐露;散发;发表;发行
eminent,a.显赫的;杰出的;有名的;优良的
depress,"v.压抑,降低;使沮丧,压下"
denote,"vt.表示,意味着"
blunt,a.率直的;钝的?v.(使)钝;(使)迟钝
blaze,"n.火焰;火光;闪光,光辉??v.燃烧,冒火焰"
blast,n.一阵(风);爆炸冲击波;管乐器声?v.爆炸
bid,"v.祝愿;命令,吩咐;报价,投标?n.出众,投标"
bias,"n./v.(使有)偏见,偏心,偏袒"
bewilder,"v.使迷惑,难住"
acclaim,v.向…欢呼，公认?n.欢呼，喝彩，称赞
wrap,"v.裹,缠,卷,包?n.披肩,围巾"
worship,"n.礼拜,礼拜仪式;崇拜?v.崇拜,敬仰;做礼拜"
utter,"v.说,发出(声音)?a.彻底的,完全的"
urge,"vt.催促;怂恿;强调?n.强烈欲望,迫切要求"
tip,n.尖端;末端;小费?n./v.轻击;倾斜;给小费
tide,"n.潮,潮汐;潮流,趋势"
thrive,"v.兴旺,繁荣"
thrill,n.一阵激动(恐惧)?v.激动；(使)毛骨悚然
thrift,a.节约，节俭
secure,"a.(from,against)安全的,放心的v.得到;防护"
section,"n.章节,部分;地区,部门,科;截面,剖面"
scratch,"v.抓,搔,扒?n.抓,搔,抓痕;起跑线"
scrape,"v.刮(掉),擦过,勉强通过?n.刮,擦痕,刮擦声"
scramble,vi.(快速地)爬，攀登；互相争夺，争先
scorn,"v./n.轻蔑,藐视"
scope,"n.(活动)范围;机会,余地"
oppress,"v.压迫,压制"
mature,"a.成熟的,熟的;成年人的?v.(使)成熟"
rally,"v.重整,恢复,振作?n.聚集,集会,拉力赛"
peer,"n.同辈,同等地位的人;贵族?v.凝视,隐约出现"
peculiar,"a.古怪的,异常的;特殊的,特有的"
pattern,"n.模式,式样;图案,图样?v.仿制,模仿"
patent,"a.专利的,特许的n.专利(权、品)v.批准专利"
patch,"n.补丁,斑点,碎片小块?v.补,修补,掩饰"
glow,"v.发热,发光,发红?n.白热"
glitter,"n.光辉,灿烂?v.闪闪发光;闪耀"
finite,"a.有限的；[数]有穷的,限定的"
figure,n.体形;轮廓;数字;图形v.描绘;计算;推测
fierce,"a.凶猛的,残忍的;狂热的,强烈的"
fiction,"n.虚构,编造;小说"
embrace,v.拥抱;包含;包围;环绕;采用;接受
embody,"vt.具体表达,使具体化;包含,收录"
embark,"v.(使)上船(或飞机,汽车等);着手,从事"
eloquent,"a.雄辩的,有说服力的;善辩的,口才流利的"
elite,n.<法>[集合名词]精华;精锐;中坚分子
delicate,a.纤弱的;精致的;微妙的;灵敏的
defy,"v.(公然)违抗,反抗;蔑视"
deliberate,"a.深思熟虑的,故意的?vt.研讨,商讨"
definite,"a.明确的;一定的;意志坚强的,立场坚定的"
defend,"v.防守,保卫;为…辩护,为…答辩"
wit,"n.智力,才智,智慧"
ventilate,vt.使通风;给…装通风设备
velocity,"n.速度,速率"
veil,"n.面纱,遮蔽物?v.用面纱掩盖,掩饰"
upset,"v.使…心烦意乱;打翻,推翻a.难过的;不安的"
upright,"a.垂直的,直立的;正直的,诚实的?ad.竖立着"
threat,"n.恐吓,威胁;坏兆头,危险迹象"
thorough,"a.彻底的,完全的;精心的"
scheme,"n.计划,方案;阴谋;配置?v.计划,策划;阴谋"
quest,n.探寻，探求；寻求，追求
passive,"a.被动的,消极的"
passion,"n.热情,激情,爱好;激怒;强烈感情"
particular,"a.特殊的,苛求的,个别的n.详情,细节,特色"
participate,"v.(in)参与,参加;分享,分担;含有,带有"
offspring,"n.子孙,后代;结果,产物"
offset,"n.分支,补偿?v.抵消,补偿"
odds,"n.不平等,差异;机会"
massacre,"vt.残杀,集体屠杀?n.残杀,大屠杀"
manipulate,vt.(熟练地)使用，操作；(巧妙地)处理
lean,"v.倾斜,屈身;倚,靠,依赖?a.瘦的,无脂肪的"
imitation,"n.模仿,仿效;仿制;仿造品"
illustrate,"v.举例说明,阐明;图解,加插图"
illuminate,vt.照亮，照明；用灯光装饰；说明，阐释
ignorant,"a.无知的,愚昧的;不知道的"
hatch,"v.孵,孵出;策划,图谋?n.舱口,小门"
harsh,a.粗糙的；(声音)刺耳的；苛刻的，严酷的
haste,"n.匆忙,急速;草率?v.赶快;匆忙"
genuine,"a.真正的,名副其实的"
generate,"vt.产生,发生;生殖"
generalize,"v.(generalise)归纳,概括;推广,普及"
sketch,"n.素描;略图,草图;梗概?v.绘略图,速写,写生"
skeptical,a.怀疑的?[英]sceptical
feature,n.特征;容貌;特色;特写?v.以...为特色
eliminate,"vt.除去;淘汰;排(删,消)除;削减(人员)"
elaborate,v./a.精心制作(的);详细阐述(的)
decorate,"v.装饰,装璜,布置"
decline,"v.下降,衰落;拒绝?n.下降;斜面,倾斜,衰落"
certificate,"n.证(明)书,执照"
certain,"a.某,某一,某些;(of)一定的,确信的,可靠的"
ceremony,"n.典礼,仪式;礼节,礼仪"
celebrity,n.名人，名流；著名，名声，名望
cease,"v./n.停止,中止"
cause,"n.原因;事业,事件,奋斗目标?v.使产生,引起"
casual,"a.偶然的,碰巧的;临时的,非正式的"
cast,"v.投,扔,掷,抛；铸造；投票；n.演员表"
capture,"v./n.捕获,俘虏;夺得,攻占"
captive,"n.俘虏?a.被俘虏的,被监禁的"
capital,"n.首都;大写字母;资本?a.主要的,大写字母的"
beam,"n.(横)梁,桁条;(光线的)束,柱?v.微笑"
bargain,"n.廉价货;交易,契约,合同?v.议价,成交"
absurd,a.荒谬的，荒诞的，荒唐可笑的；不合理的
zoom,vi.(飞机)陡升?n.陡升；嗡嗡声
wholesome,"a.卫生的;有益的;健康的,有益健康的"
whirl,"v.(使)旋转,打转?n.旋转;-连串快速的活动"
weld,"v.焊接?n.焊接,焊缝"
weird,a.古怪的，离奇的；怪诞的，神秘而可怕的
wedge,"n.楔,楔形?vt.楔牢,楔入,挤进"
wage,"n.(常pl.)工资,报酬?vt.进行,开展"
vast,"a.巨大的,辽阔的,大量的;巨额的"
vase,"n.花瓶,瓶"
vanish,vi.突然不见;消失
valid,a.有效的;有根据的;正当的
vain,"a.徒劳的,徒然的;自负的,爱虚荣的"
vacant,"a.空的,未占用的;空缺的;神情茫然的"
unlikely,"a.未必的,靠不住的"
underlie,"vt.位于...之下,?成为...的基础"
ultimate,"a.最后的,最终的;根本的"
trace,"n.痕迹,踪迹;极少量?v.描绘;跟踪,追踪"
terminate,vi.(使)结束，(使)停止
tentative,a.试探性的，暂时的；犹豫不决的
tend,"v.趋向,往往是;照料,看护"
tempt,"v.诱惑,引诱;吸引,使感兴趣"
tedious,"a.乏味的,单调的,冗长的"
tap,"n.塞子;水龙头;?n./v.轻打,轻敲;?vt.开发"
tame,"a.驯服的,温顺的;沉闷的,乏味的?vt.驯服"
tackle,"n.滑车;用具,器械?v.处理,解决;抱住,抓住"
spacious,adj.广阔的，宽敞的
squeeze,"v.压榨,挤?n.榨取,勒索"
scene,"n.景色,景象,舞台;(戏)一场"
scatter,"v.散开,驱散;散布,散播"
savage,"a.野蛮的;凶恶,残暴的?n.野人,未开化的人"
saturate,vt.使湿透，浸透；使充满，使饱和
sacred,a.神圣的;宗教的;庄严的
panic,"n./a.恐慌(的),惊慌(的)?vt.使惊慌,使害怕"
panel,"n.面,板;控制板,仪表盘;专门小组"
obsolete,"a.已废弃的,过时的"
obsession,"n.迷住,?困扰"
obscure,"a.暗的,朦胧的;模糊的,晦涩的"
oblige,"v.强迫,迫使;责成;(使)感激,施恩于"
obligation,"n.义务,责任"
therapy,n.治疗，(不需要药物或手术的)物理疗法
malignant,a.恶性的，致命的；恶意的，恶毒的
majority,"n.多数,大多数,成年,法定年龄"
magnificent,"a.华丽的,高尚的,宏伟的"
magnify,"vt.放大,扩大,夸大,夸张"
lateral,"n.侧面的,旁边的"
knit,"v.编织,编结;接合,粘合"
jealous,"a.(of)妒忌的;猜疑的,警惕的"
ignite,"v.点火,引燃"
idle,"a.空闲的,闲置的;懒散的?v.空费,虚度"
identical,"a.(to.with)同一的,同样的"
rage,n.愤怒
radical,"a.基本的,重要的;激进的,极端的;根本的"
radiate,"v.放射,辐射;散布,传播"
shuttle,n.往返汽车/列车/飞机；穿梭?v.往返穿梭
shrink,"v.起皱,收缩;退缩,畏缩"
shower,"n.阵雨;沐浴;(一)阵/大批v.下阵雨,倾注"
shield,"n.防护物,护罩;盾,盾状物?v.保护,防护"
handicap,v.妨碍?n.(身体或智力方面的)缺陷;不利条件
hamper,"v.妨碍,阻碍,牵制"
hail,"v.下雹;欢呼,欢迎?n.雹"
gamble,"n./v.投机,冒险;赌博"
gallop,"v./n.奔驰,飞奔"
fare,"n.车费,船费;伙食;乘客?v.过活;进展;经营"
fancy,"n.爱好,迷恋?v.想象,幻想?a.花式的,奇特的"
fair,"a.公平的,合理的;相当的?n.集市,交易会"
fabricate,"v.捏造,编造(谎言,借口等);建造,制造"
deceive,"v.欺骗,蒙蔽"
bait,n.饵，引诱物?vt.用饵引诱；折磨，奚落
